borough,developmen,tds_num,Latitude,Longitude,scores_SCORE,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT
BROOKLYN,RED HOOK WEST,79,40.675936,-74.00819,0.945743749666667,79,"1,471","1,480","6,320.5",4.3,"3,165","3,165",528,0.369,14,1,,$532.00
QUEENS,REDFERN,55,40.610173,-73.751745,0,55,599,604,"2,908.5",4.86,"1,573","1,573",185,0.315,9,0,"$3,186.00",$506.00
QUEENS,REHAB PROGRAM (COLLEGE POINT),143,40.78043,-73.843012,0.954242615833333,186,13,13,32.5,2.5,13,13,12,0.923,1,0,"$4,821.00",$235.00
MANHATTAN,REHAB PROGRAM (DOUGLASS REHABS),515,40.79931,-73.969269,0.7137210715,359,112,112,413.0,3.69,182,182,43,0.384,4,0,,$543.00
MANHATTAN,REHAB PROGRAM (TAFT REHABS),516,40.803231,-73.952147,0.812168339785714,359,156,156,602.0,3.86,290,290,44,0.284,4,0,,$540.00
MANHATTAN,REHAB PROGRAM (WISE REHAB),517,40.790867,-73.96743,0.643495448555556,127,40,40,159.0,3.98,67,67,18,0.45,1,0,,$628.00
BROOKLYN,REID APARTMENTS,167,40.661989,-73.938367,0.768494130833333,167,227,230,681.5,3,235,235,206,0.92,1,0,"$5,227.00",$318.00
BRONX,SAINT MARY'S PARK,93,40.816484,-73.908757,0.592763824213333,93,"1,005","1,007","4,523.5",4.5,"1,760","2,299",344,0.347,6,0,"$3,607.00",$512.00
MANHATTAN,SAINT NICHOLAS,38,40.812114,-73.947946,0.659949261166667,38,"1,525","1,526","7,109.5",4.66,"3,426","3,426",533,0.358,13,0,"$2,891.00",$529.00
BROOKLYN,SURFSIDE GARDENS,170,40.575049,-73.998543,0.9362235472,170,594,600,"2,550.0",4.29,"1,141","1,141",358,0.617,5,0,"$5,261.00",$450.00
STATEN ISLAND,RICHMOND TERRACE,117,40.645356,-74.087154,0.489443127666667,117,488,489,"2,308.0",4.73,"1,269","1,269",137,0.284,6,1,"$4,129.00",$530.00
MANHATTAN,RIIS,18,40.72489,-73.974001,0.769291277444444,18,"1,191","1,191","5,666.5",4.76,"2,715","2,715",464,0.398,13,0,"$2,411.00",$595.00
MANHATTAN,RIIS II,19,40.72274,-73.975456,0.711523977266667,18,577,578,"2,720.5",4.71,"1,271","1,271",244,0.426,6,0,"$2,344.00",$542.00
MANHATTAN,ROBBINS PLAZA,218,40.766827,-73.95716,0.797530053393939,139,150,150,470.0,3.13,160,160,136,0.919,1,0,"$9,568.00",$340.00
MANHATTAN,ROBINSON,241,40.806871,-73.936424,0.749409133416667,241,188,189,834.0,4.44,421,421,70,0.376,1,0,"$7,068.00",$565.00
BROOKLYN,ROOSEVELT I,135,40.69327,-73.937225,0.823597953318182,135,761,763,"3,575.5",4.7,"1,814","1,814",323,0.428,6,0,"$3,914.00",$526.00
BROOKLYN,ROOSEVELT II,177,40.694332,-73.935585,0.590164665362319,135,342,342,"1,496.0",4.37,727,727,139,0.41,3,0,"$4,312.00",$538.00
